range,payload,cost
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
10,5,3470.200439
18.39581871,60,7361.351074
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
11.21867847,20,4284.958984
19.17332458,5,4284.95459
10,5,3470.200439
20.32730484,10,5150.19873
20.32730484,10,5150.19873
11.21867847,20,4284.958984
11.21867847,20,4284.958984
20.32730484,10,5150.19873
20.32730484,10,5150.19873
11.21867847,20,4284.958984
11.21867847,20,4284.958984
11.21867847,20,4284.958984
20.32730484,10,5150.19873
23.89169884,6,5516.050293
20.32730484,10,5150.19873
11.21867847,20,4284.958984
11.21867847,20,4284.958984
20.32730484,10,5150.19873
30.0741539,6,5084.512207
19.17332458,5,4284.95459
19.17332458,5,4284.95459
19.17332458,5,4284.95459
11.21867847,20,4284.958984
19.17332458,5,4284.95459
19.17332458,5,4284.95459
11.21867847,20,4284.958984
11.21867847,20,4284.958984
30.0741539,6,5084.512207
30.0741539,6,5084.512207
11.21867847,20,4284.958984
30.0741539,6,5084.512207
20.32730484,10,5150.19873
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
