seq	action	start_submit
0	Scenario;6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	1
0	Open;3400.0;14364.0;13.0	0
0	Open;3300.0;14243.0;12.0	0
0	Open;3400.0;14364.0;13.0	0
0	Open;3300.0;14243.0;12.0	0
0	Open;3400.0;14364.0;13.0	0
0	Open;3300.0;14243.0;12.0	0
0	Open;3300.0;14243.0;12.0	0
0	Open;3300.0;14243.0;12.0	0
0	Open;3400.0;14364.0;13.0	0
0	Open;3300.0;14243.0;12.0	0
0	Open;2900.0;14364.0;13.0	0
0	Open;6400.0;12680.0;25.0	0
0	Open;4800.0;13522.0;19.0	0
0	Open;3400.0;14364.0;13.0	0
0	Open;4900.0;13522.0;19.0	0
0	Open;6400.0;12680.0;25.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;3800.0;14364.0;17.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;4800.0;13805.0;18.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;4700.0;14647.0;17.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;6300.0;16280.0;23.0	0
0	Open;6300.0;12680.0;23.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;4700.0;14647.0;17.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;4900.0;13522.0;19.0	0
0	Open;6700.0;13522.0;26.0	0
0	Open;6100.0;13522.0;24.0	0
0	Open;6700.0;13522.0;26.0	0
0	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|-2.4:-3.7|-1.7:-3.4|-1.0:-4.8|-1.7:-4.4|-1.0:-5.6|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
0	Open;2300.0;10831.0;11.0	0
0	Open;2300.0;10831.0;11.0	0
0	Open;2500.0;12517.0;13.0	0
0	Open;2400.0;14652.0;13.0	0
0	Open;2700.0;9496.0;10.0	0
0	Open;2700.0;9496.0;10.0	0
0	Scenario;6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-2.4:-3.6|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
0	Open;2300.0;10831.0;11.0	0
0	Open;2300.0;10831.0;11.0	0
0	Open;2500.0;12517.0;13.0	0
0	Open;2400.0;14652.0;13.0	0
0	Open;2700.0;9496.0;10.0	0
0	Open;2700.0;9496.0;10.0	0
0	Scenario;6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|1.0:-0.5|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
0	Open;500.0;3470.0;2.0	0
0	Open;500.0;3470.0;2.0	0
0	Open;500.0;3470.0;2.0	0
0	Open;400.0;3470.0;1.0	0
0	Open;400.0;3470.0;1.0	0
0	Open;500.0;3470.0;2.0	0
0	Open;500.0;3470.0;2.0	0
