seq	config	result	range	capacity	cost	velocity	start	type	start_seq	start_submit
0	"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++^ab^ac^ad^ae,12,3"	Success	5.546554	12	3765.951	17.82344	1	Evaluate	1	1
0	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,20,3"	Success	2.93544	20	4145.701	14.49726	0	Evaluate	0	1
0	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,20,3"	Submit	2.93544	20	4145.701	14.49726	0	Submit	0	1
0	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0*gLN0*hLO3*iOL3^ab^ac^ad^ae^ef^dg^gh^fi,10,3"	Success	24.85929	10	6430.402	11.58371	0	Evaluate	0	1
1	"*aMM0++++++*bNM2++*cMN1++*dLM1+++*eML2+++*fNL1*gLN2*hMO2+*iOM1+^ab^ac^ad^ae^ef^dg^ch^bi,5,3"	Open	1.134082	5	3988.874	11.36208	1	Open	0	0
1	"*aMM0++++++*bNM2++*cMN1++*dLM1+++*eML2+++*fNL4*gLN0*hMO2+*iOM1+^ab^ac^ad^ae^ef^dg^ch^bi,5,3"	CouldNotStabilize	-0.7770422	5	5232.874	44.45281	0	Evaluate	0	0
1	"*aMM0++++++*bNM2++*cMN1++*dLM1+++*eML2+++*fNL1*gLN2*hMO2+*iOM1+^ab^ac^ad^ae^ef^dg^ch^bi,5,3"	Success	1.134082	5	3988.874	11.36208	0	Evaluate	0	0
1	"*aMM0++++++*bNM2++*cMN1++*dLM1+++*eML2+++*fNL1*gLN2*hMO2+*iOM1+^ab^ac^ad^ae^ef^dg^ch^bi,5,3"	Submit	1.134082	5	3988.874	11.36208	0	Submit	0	0
2	"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN0*gNL0^ab^ac^ad^ae^df^eg^gb^fc,10,3"	Success	40.44432	10	6565.951	25.78091	1	Evaluate	1	1
2	"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3"	HitBoundary	25.76269	10	7128.404	41.65825	0	Evaluate	0	1
2	"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,20,3"	HitBoundary	5.315139	20	7128.404	25.6069	0	Evaluate	0	1
2	"*aMM0+++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,10,3"	HitBoundary	25.76269	10	7128.404	41.65825	0	Evaluate	0	1
2	"*aMM0++++*bNM2+++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,15,3"	HitBoundary	20.58512	15	6881.602	43.09135	0	Evaluate	0	1
2	"*aMM0+++*bNM2++*cMN1++*dLM2++*eML1++*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0++*kNL0++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,60,3"	Success	17.61019	60	7131.563	23.66847	0	Evaluate	0	1
2	"*aMM0++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0++++*kNL0++++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,40,3"	Success	30.79033	40	8981.17	19.76894	0	Evaluate	0	1
2	"*aMM0+++++*bNM2+*cMN1+*dLM2+*eML1+*fOM1++++*gMO2++++*hMK2++++*iKM1++++*jLN0++++*kNL0++++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,40,3"	Success	31.52621	40	8630.996	21.25204	0	Evaluate	0	1
2	"*aMM0+++++*bNM2+*cMN1+*dLM2+*eML1+*fOM1++++*gMO2++++*hMK2++++*iKM1++++*jLN0++++*kNL0++++^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,35,3"	Success	34.39809	35	8630.996	21.26709	0	Evaluate	0	1
