seq	action	start_seq
0	Start	1
0	"Manual_r32c18$6582;0.6,1.0;2.0,3.1;-1.7,5.3;"	0
0	"Manual_r10c5$3470;r13c70$6942;r27c5$6430;-3.8,-3.8;-3.1,-4.4;-2.4,-3.7;-3.2,-3.6;-3.1,-4.6;"	0
0	"Manual_r23c45$7363;-0.8,-1.8;-1.4,-1.2;-1.7,-3.4;-1.2,-4.0;-1.7,-4.4;r10c5$3470;r17c5$3630;-2.2,7.0;-1.5,6.9;-1.0,5.6;-0.2,5.8;r22c5$3591;-0.7,7.2;-0.8,6.4;-1.5,6.9;r17c5$5026;-0.7,1.2;-1.4,-1.2;"	0
0	"Manual_r45c5$6426;-0.2,5.8;-1.0,5.6;-1.7,5.3;"	0
0	"Manual_r25c20$6298;1.1,-6.3;1.5,-5.3;2.2,-5.6,1;1.5,-5.9,1;1.1,-6.3,4;-1.0,-5.6,4;-1.0,-4.8,3;-1.2,-4.0,1;-1.7,-4.4,2;-2.4,-3.7,4"	0
0	"Agent=5600,11247,23_Pathr24c45$7872;-0.7,1.2,2;-0.6,0.2,2;0.1,0.6,2;0.6,1.0,1;0.7,0.3,2;1.0,-0.5,2;0.4,-0.8,3;-0.3,-0.4,1;-1.4,-1.2,3;-0.8,-1.6,2;-1.7,-3.4,2;-2.4,-3.7,4Pathr10c26$3509;-3.2,-3.6,1;-3.1,-4.4,3;-3.8,-3.8,1"	0
0	"Agent=5700,13997,19_Pathr20c29$5243;-1.7,5.3,2;-3.0,5.1,2;-5.3,2.4,4;-5.8,3.0,2;-6.5,3.4,4;-6.6,2.4,4;-7.4,1.4,1;-6.5,0.4,1;-6.1,1.3,2;-6.0,2.0,3;-5.2,1.2,3Pathr10c26$3509;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;0.6,1.0,1;0.1,0.6,2;-0.6,0.2,2Pathr20c29$5243;-4.6,1.9,3;-0.7,1.2,2;-1.4,-1.2,3;-0.8,-1.6,2;-1.7,-3.4,2;-1.2,-4.0,1;-1.7,-4.4,2;-2.4,-3.7,4;-3.1,-4.4,3;-3.8,-3.8,1;-3.2,-3.6,1"	0
0	Submit	0
0	"Agent=6000,2020,13_Pathr29c32$7443;-0.7,1.2,3;-0.2,5.8,1;-0.8,6.4,1;-1.0,5.6,2;-1.7,5.3,2"	0
0	"Agent=2700,2769,6_Pathr14c5$3470;-1.4,-1.2,3;-0.8,-1.6,2;-0.3,-0.4,1;-0.6,0.2,2Pathr16c30$4859;-3.2,-3.6,1;-3.8,-3.8,1;-3.1,-4.4,3;-4.5,-6.0,3;-2.0,-5.1,3;-1.0,-5.6,4;-1.0,-4.8,3;-1.7,-4.4,2;-1.2,-4.0,1;-1.7,-3.4,2;-2.4,-3.7,4"	0
1	Start	1
1	"Manual_r10c5$3470;r23c5$5437;-2.1,6.0;-3.0,5.1;-2.1,6.0;-2.8,6.2;r17c5$5026;"	0
1	"Manual_r10c5$3470;-5.2,1.2;-6.1,1.3;-5.3,2.4;-4.6,1.9;r10c26$3509;r10c26$3509;r10c26$3509;r10c26$3509;r10c26$3509;r10c26$3509;"	0
1	"Manual_r10c26$3509;-4.6,1.9;-5.3,2.4;-5.8,3.0;-6.5,3.4;-6.6,2.4;-6.0,2.0;-6.1,1.3;-5.2,1.2;"	0
2	"Open=2900.0,9211.0,12.0"	0
3	"Open=3900.0,13020.0,14.0"	0
4	"Open=3600.0,12852.0,12.0"	0
5	"Open=2900.0,8988.0,14.0"	0
6	"Open=3600.0,12562.0,13.0"	0
7	"Open=4300.0,13472.0,17.0"	0
8	"Open=4500.0,14803.0,16.0"	0
8	"Manual_r19c60$7830;-1.0,-5.6;-2.0,-5.1;-3.1,-4.4;-3.8,-3.8;-3.2,-3.6;"	0
8	"Manual_r22c45$7360;-3.0,-5.1;-1.0,-5.6;-1.0,-4.8;-1.7,-4.4;-1.2,-4.0;-1.7,-3.4;-2.4,-3.7;"	0
8	"Manual_r10c26$3509;-5.2,1.2;-6.1,1.3;-4.6,1.9;-0.2,5.8;-0.7,7.2;-0.8,6.4;-1.5,6.9;-2.1,6.0;-1.7,5.3;-1.0,5.6;-0.8,6.4;-1.7,5.3;r21c15$6662;-1.2,-4.0;-1.0,-4.8;-1.0,-5.6;1.1,-6.3;2.1,-6.4;2.8,-6.0;0.1,0.6,2;0.7,0.3,2;1.0,-0.5,2;0.4,-0.8,3;-0.3,-0.4,1;-1.4,-1.2,3;-0.8,-1.6,2;-1.7,-3.4,2;-1.7,-4.4,2;-2.4,-3.7,4;-3.1,-4.4,3;-3.2,-3.6,1"	0
8	"Agent=5100,13026,20_Pathr20c29$5243;-1.7,5.3,2;-3.0,5.1,2;-5.3,2.4,4;-5.8,3.0,2;-6.5,3.4,4;-6.6,2.4,4;-7.4,1.4,1;-6.5,0.4,1;-6.1,1.3,2;-6.0,2.0,3;-5.2,1.2,3Pathr10c26$3509;-6.5,0.4,1;-7.4,1.4,1"	0
