range,cost,capacity,config
2.336993217,2018.750244,16,"*aMM0*bNM1+*cMN1+*dLM2+*eML2+^ab^ac^ad^ae,16,3"
2.164794445,2018.750244,17,"*aMM0*bNM1+*cMN1+*dLM2+*eML2+^ab^ac^ad^ae,17,3"
0.864259124,1850.940308,20,"*aMM0-*bNM1+*cMN1+*dLM2+*eML2+^ab^ac^ad^ae,20,3*5"
1.210573673,1850.940308,19,"*aMM0-*bNM1+*cMN2+*dLM1+*eML2+^ab^ac^ad^ae,19,3"
0.580204487,1556.640503,19,"*aMM0---*bNM1+*cMN2+*dLM1+*eML2+^ab^ac^ad^ae,19,3"
0.682520092,1697.106567,20,"*aMM0--*bNM1+*cMN2+*dLM1+*eML2+^ab^ac^ad^ae,20,3"
10.33302116,1795.730347,5,"*aMM0--*bNM1+*cMN2+*dLM2+*eML1+*fLN3--------*gNL3--------^ab^ac^ad^ae^df^eg^bf^cg,5,3"
2.221507549,1731.516235,5,"*aMM0--*bNM1+*cMN2+*dLM2+*eML1+*fLN3----------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf^gg,5,3"
43.92681122,10805.28418,28,"*aMM0-----*bNM1++*cMN1++*dLM2++*eML2++*fOM2++*gMO1++*hKM2++*iMK1++*jPM4*kON4*lOL4*mNO4*nMP4*oLO4*pKN4*qJM4*rKL4*sNK4*tLK4*uMJ4*vLN0+++++++++*wNL0+++++++++*xOK1+++++*yNJ4*zOJ4*!PK4*@PL4*#OO4*$NN2+++++*%KO2+++++*&LP4*(KP4*)LL1+++++*_KK4^ab^ac^ad^ae^bf^cg^dh^ei^fj^fk^fl^gm^gn^go^hp^hq^hr^is^it^iu^dv^ew^sx^uy^yz^x!^!@^k#^b$^p%^o&^%(^t)^t_^vc^bw^lx^ys^zx^@j^m#^c$^$m^$m^$k^vo^p%^%o^o&^&n^%(^pv^wl^sw^l)^)s^))^)d^r)^t_^r)^t_^@v^l$^km,28,3"
0.131898582,1715.890625,32,"*aMM0---*bNM1++*cMN1++*dLM2++*eML2++^ab^ac^ad^ae,32,3"
59.75365067,3567.947021,23,"*aMM0------*bNM1++*cMN2++*dLM1++*eML1++*fOM2+*gNN0----*hNL3*iMO1+*jLN3*kKM2+*lLL0----*mMK1+*nLO4*oOL4*pKN4*qNK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^in^jn^ho^fo^kp^pj^mq^hq^el,23,3"
16.83164024,6538.203613,54,"*aMM0*bNM1++*cMN2++*dLM1++*eML2++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,54,3"
0.247301608,1856.356689,31,"*aMM0--*bNM1++*cMN2++*dLM1++*eML2++^ab^ac^ad^ae,31,3"
0.179244474,1715.890625,31,"*aMM0---*bNM1++*cMN2++*dLM1++*eML2++^ab^ac^ad^ae,31,3"
0.231075436,1856.356689,32,"*aMM0--*bNM1++*cMN2++*dLM1++*eML2++^ab^ac^ad^ae,32,3"
0.303401023,2010.19043,33,"*aMM0-*bNM1++*cMN2++*dLM1++*eML2++^ab^ac^ad^ae,33,3**"
0.200067267,1856.356689,34,"*aMM0--*bNM1++*cMN2++*dLM1++*eML2++^ab^ac^ad^ae,34,3"
9.388931274,5437.668945,55,"*aMM0-----*bNM1++*cMN2++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,55,3"
15.32188129,6760.453613,60,"*aMM0*bNM1+++*cMN1+++*dLM2+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,60,3"
6.707682133,6197.477051,85,"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk^dc^ee^ef^bg^bh^ci,85,3"
9.838755608,6438.810059,76,"*aMM0--*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,76,3"
8.907818794,6592.644043,84,"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,84,3"
24.51033974,5792.393555,30,"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fNL0++*gLN0++^ab^ac^ad^ae^ef^dg,30,3"
12.51629066,5512.250977,45,"*aMM0*bNM2*cMN1*dLM2*eML1*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"
1.218642235,1605.890503,18,"*aMM0---*bNM2*cMN1*dLM2*eML1*fNN2*gLL1^ab^ac^ad^ae^bf^dg,18,3"
1.025330901,1501.004272,6,"*aMM0----*bNM2*cMN1*dLM2*eML1*fNN3++*gLL3++^ab^ac^ad^ae^bf^dg,6,3"
0.604453266,2330.750244,36,"*aMM0*bNM2*cMN1*dLM2*eML1*fOM2+*gMO1+*hKM2+*iMK1+^ab^ac^ad^ae^bf^cg^dh^ei,36,3"
4.312452316,1590.356567,0,"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3"
3.131039381,1449.890503,0,"*aMM0---*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3"
2.191860676,1322.185181,0,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3"
1.50930655,1206.63269,0,"*aMM0-----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3"
1.059934139,1102.625,0,"*aMM0------*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3"
3.513604879,1590.356567,1,"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,1,23"
1.591682792,1322.185181,1,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,1,3"
0.683656991,1102.625,1,"*aMM0------*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,1,3"
1.387387991,1590.356567,10,"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,10,3"
2.871811867,1590.356567,2,"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,2,3"
1.875939608,1449.890503,2,"*aMM0---*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,2,3"
1.162094831,1322.185181,2,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,2,3"
1.44337678,1449.890503,3,"*aMM0---*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,3,3"
0.823015392,1322.185181,3,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,3,3"
0.463712335,1206.63269,3,"*aMM0-----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,3,3"
2.910395384,1744.190308,4,"*aMM0-*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,4,3"
1.073053718,1449.890503,4,"*aMM0---*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,4,3"
0.559898496,1322.185181,4,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,4,3"
0.291340262,1206.63269,4,"*aMM0-----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,4,3"
0.357042342,1322.185181,5,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,5,3"
1.93155694,1590.356567,7,"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,7,3"
0.892890632,1449.890503,8,"*aMM0---*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,8,3"
0.39922303,1449.890503,9,"*aMM0---*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,9,3"
0.290519625,1322.185181,9,"*aMM0----*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,9,3"
12.36741352,1977.87439,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^cf^bg,6,3"
74.44608307,1802.365112,4,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^cf^df^eg^bg,4,3"
6.325809956,2051.552002,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^cf^df^eg^gb,8,3"
74.57408142,1985.710815,2,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^cf^eg,2,3"
