session305
Time,User,Action,Type
2020-04-08 19:45:10.324929+00:00,cmu_exp,"Welcome to the Online Distributed Interactive Drone Design Study! Please wait a moment for the rest of the participants to log in. Please enter your username (e.g., cmu_01) when you see this message. We will start our study when all participants log into the Hyform website.",chat: Session @40___305
2020-04-08 19:56:02.980384+00:00,cmu_exp,"Please enter your username (e.g., cmu_01) when you see this message.",chat: Design Specialist @38_35___305
2020-04-08 19:56:23.437292+00:00,cmu_exp,Thanks,chat: Design Specialist @38_35___305
2020-04-08 19:57:31.397755+00:00,cmu_03,I'm here,chat: Help @38_35___305
2020-04-08 19:57:47.303214+00:00,cmu_03, cmu_03,chat: Help @38_35___305
2020-04-08 19:57:52.225794+00:00,cmu_exp,thanks,chat: Design Specialist @38_35___305
2020-04-08 19:58:01.936696+00:00,cmu_exp,Please wait a moment for the rest of the participants to log in.,chat: Design Specialist @38_35___305
2020-04-08 19:58:03.765693+00:00,cmu_03,,chat: Help @38_35___305
2020-04-08 19:58:09.208648+00:00,cmu_02,cmu_02,chat: Help @38_34___305
2020-04-08 19:58:17.821549+00:00,cmu_exp,Please wait a moment for the rest of the participants to log in. Thanks.,chat: Design Manager @38_34___305
2020-04-08 20:00:00.393865+00:00,cmu_04,cmu_04,chat: Help @38_36___305
2020-04-08 20:00:27.850683+00:00,cmu_06,okay,chat: Help @38_38___305
2020-04-08 20:00:41.225179+00:00,cmu_03,ok,chat: Help @38_35___305
2020-04-08 20:00:44.881945+00:00,cmu_06,cmu_06,chat: Help @38_38___305
2020-04-08 20:05:16.340684+00:00,cmu_exp,Thanks for your patience! We will wait for two more minutes.,chat: Session @40___305
2020-04-08 20:05:26.271899+00:00,cmu_03,ok,chat: Help @38_35___305
2020-04-08 20:05:34.586050+00:00,cmu_02,"ok, no problem ",chat: Help @38_34___305
2020-04-08 20:05:44.242445+00:00,cmu_06,Sure. Np!,chat: Help @38_38___305
2020-04-08 20:06:09.287867+00:00,cmu_04,okay,chat: Help @38_36___305
2020-04-08 20:08:33.833182+00:00,cmu_01,cmu-01,chat: Help @38_33___305
2020-04-08 20:09:07.019773+00:00,cmu_exp,"Thanks, Ting Yen",chat: Business @38_33___305
2020-04-08 20:09:56.893753+00:00,cmu_01,"no problem, are we waiting for the others? ",chat: Help @38_33___305
2020-04-08 20:10:01.682198+00:00,cmu_04,??,chat: Help @38_36___305
2020-04-08 20:11:03.861784+00:00,cmu_03,Are you terminating the session ? ,chat: Help @38_35___305
2020-04-08 20:11:55.121622+00:00,cmu_exp,no,chat: Design Specialist @38_35___305
