range,capacity,cost,velocity,config
1.134095073,5,3988.873779,11.36228085,"*aMM0++++++*bNM2++*cMN1++*dLM1+++*eML2+++*fNL1*gLN2*hMO2+*iOM1+^ab^ac^ad^ae^ef^dg^ch^bi,5,3"
2.466145515,20,4142.104492,9.869833946,"*aMM0++++*bNM1+++++*cMN2+++++*dLM2+++++*eML1+++++*fLN3++++++++*gNL3++++++++^ab^ac^ad^ae^cf^bg,20,3"
2.935428619,20,4145.700195,14.49721813,"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,20,3"
4.340017796,80,5437.668457,20.563591,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+*hOM2++*iMO1++*jMK2++*kKM1++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,80,3"
4.589111805,32,3558.510986,21.45075226,"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0----*gNL0----^ab^ac^ad^ae^df^eg^cf,32,3"
4.808814049,23,3102.756348,11.57738781,"*aMM0+++*bNM2++*cMN1+++*dLM2++*eML1+++*fNL3++++++*gLN3++++++^ab^ac^ad^ae^bf^cg,23,3"
4.945235252,20,3935.289551,10.96713829,"*aMM0+++++*bNM1++++*cMN2++++*dLM1++++*eML2++++*fOM4*gKM4++*hMK4*iMO4*jNN4++*kLN3+*lNL3+^ab^ac^ad^ae^bf^dg^eh^ci^bj^ck^bl,20,3"
5.004795551,44,4274.816406,21.36375618,"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-^ab^ac^ad^ae^df^eg^fc,44,3"
5.014784336,28,3445.277588,11.57120991,"*aMM0+++++*bNM1++*cMN1+++*dLM2++*eML2+++*fNL3----------*gLN3----------^ab^ac^ad^ae^ef^dg,28,3"
5.294682503,20,2940.69873,10.87124443,"*aMM0+++*bNM2++*cMN1++*dLM2++*eML1++*fNL3+*gLN3+^ab^ac^ad^ae^ef^dg,20,3"
5.50509119,20,3120.555176,11.96164322,"*aMM0++++*bNM2++*cMN1++*dLM2++*eML1++*fNL3-----*gLN3-----^ab^ac^ad^ae^ef^dg,20,3"
5.537545681,15,6826.038574,15.11631584,"*aMM0++++*bNM2++*cMN1++*dLM2+++*eML1++*fLN0++*gNL0++*iLL2+*hNN1+^ab^ac^ad^ae^df^eg^fc^gb^ch^bh^ei^di,15,3"
5.621313572,28,3457.69873,11.93711472,"*aMM0+++++*bNM1++*cMN1+++*dLM2++*eML2+++*fNL3--------*gLN3--------^ab^ac^ad^ae^ef^dg,28,3"
5.873788357,30,3763.893311,21.67707062,"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0------*gLN0------^ab^ac^ad^ae^bf^cg,30,3"
5.873791695,30,3763.893311,21.67697144,"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0------*gLN0------^ab^ac^ad^ae^bf^cg,30,3"
5.936053276,65,5278.418457,23.27335739,"*aMM0-----*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,65,3"
6.058351994,15,4030.37207,16.95906639,"*aMM0++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++^ab^ac^ad^ae,15,3"
6.060209274,25,3263.670898,13.69196224,"*aMM0++++*bNM2++*cMN2+++*dLM1++*eML1+++*fLN3-*gNL3-^ab^ac^ad^ae^df^eg^bg,25,3"
6.103415012,26,3332.544922,11.75430679,"*aMM0++++*bNM1++*cMN1+++*dLM2++*eML2+++*fNL3++++++*gLN3++++++^ab^ac^ad^ae^bf^cg,26,3"
6.816373348,96,6745.262695,20.40172005,"*aMM0++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,96,3"
6.938835621,10,3520.908691,10.65471745,"*aMM0+++*bNM1++++*cMN2++++*dLM2++++*eML1++++*fLN3+++++++*gNL3+++++++^ab^ac^ad^ae^cf^bg,10,3"
7.139707088,21,3126.083984,13.64461327,"*aMM0-----*bNM2++*cMN1++*dLM2++*eML1++*fOM2*gNN0------*hNL3*iMO1*jLN3*kKM2*lLL0------*mMK1*nLO4*oOL4*pKN4*qNK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^in^ho^kp^cg^dj^eh^jn^fo^mq,21,3"
7.204419613,97,9654.09375,7.120690346,"*aMM0+++++++++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLL2++*gNN2++*hNL1++*iLN1++*jKM1+++*kMO2+++*lOM1+++*mMK2+++^ab^ac^ad^ae^df^cg^eh^di^dj^ck^bl^em^ef^bg^bh^ci,97,3"
7.728058815,5,4145.700195,20.83709717,"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,5,3"
7.906921387,20,4355.065918,11.23584461,"*aMM0+++++*bNM4++++*cMN4++++*dLM4++++*eML4++++*fOM1+++++*gKM1+++++*hMK2+++++*iMO2+++++*jNN4++*kLN3+++++*lNL3+++++^ab^ac^ad^ae^bf^dg^eh^ci^bj^ck^bl,20,3"
7.976199627,10,4030.37207,18.36781883,"*aMM0++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++^ab^ac^ad^ae,10,3"
8.29061985,16,2939.949463,9.577708244,"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fNL3++++++++++++++++++*gLN3++++++++++++++++++^ab^ac^ad^ae^ef^dg,16,3"
8.380192757,8,2117.374023,11.19953346,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fNL3--------*gLN3--------^ab^ac^ad^ae^ef^dg,8,3"
8.396873474,53,5156.891113,25.57972145,"*aMM0---*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^kc,53,3"
8.437158585,32,3915.212158,17.92652702,"*aMM0---*bNM2++*cMN1++*dLM2++*eML1++*fOM2+*gNN0----*hNL3*iMO1+*jLN3*kKM2+*lLL0----*mMK1+*nLO4*oOL4*pKN4*qNK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^in^ho^kp^mq^cg^dj^eh^jn^fo^pj^hq^le,32,3"
9.073893547,32,4159.263184,28.42606926,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-^ab^ac^ad^ae^df^eg^cf^gb,32,3"
9.102334023,79,6547.679199,23.44331169,"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,79,3"
9.186551094,12,2934.171631,9.735795021,"*aMM0++++*bNM1+*cMN2+*dLM1+*eML2+*fNL3---------*gLN3---------^ab^ac^ad^ae^ef^dg,12,3"
9.641415596,31,4159.263184,28.83623314,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN4*iLL4^ab^ac^ad^ae^df^eg^ch^di^ei,31,3"
9.641521454,31,4159.263184,28.8364315,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN4*iLL4^ab^ac^ad^ae^df^eg^ch^di^ei^bg^fc^hb,31,3"
9.747408867,20,3591.671875,24.85513687,"*aMM0---*bNM2++*cMN1++*dLM2++*eML1++*fNL0---*gLN0---^ab^ac^ad^ae^ef^dg,20,3"
9.771212578,5,3679.574219,20.28010178,"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL2+*gLN1+^ab^ac^ad^ae^ef^fb^dg^gc,5,3"
9.800227165,10,4315.040039,11.36419296,"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL3+*gLN3+^ab^ac^ad^ae^bf^cg,10,3"
9.89068985,71,6365.286621,24.9581852,"*aMM0*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,71,3"
10,5,3470.200439,20,"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"
10.02470779,61,6623.888672,28.01984406,"*aMM0----*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLN0++*gNL0++*hOM1++*iMO2++*jMK2++*kKM1++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,61,3"
10.10049725,75,6438.810059,26.37764168,"*aMM0--*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,75,3"
10.30806637,80,6760.454102,24.71838951,"*aMM0*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,80,3"
10.53382015,5,1920.538086,11.25035191,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^bg,5,3"
